ISO-3166-1;ISO-3166-2;Fips;GN;"Geoname ID";"Name of Subdivision";Wikipedia;"Type ID";Type;"Geoname ID of Capital";Capital;Population;lang;continent;From;Till
AD;02;02;02;3041203;Canillo;http://en.wikipedia.org/wiki/Canillo;1;parish;3041204;Canillo;5067;ca;EU;;
AD;03;03;03;3040684;Encamp;http://en.wikipedia.org/wiki/Encamp;1;parish;3040686;Encamp;13685;ca;EU;;
AD;04;04;04;3040131;"La Massana";http://en.wikipedia.org/wiki/La_Massana;1;parish;3040132;"la Massana";8953;ca;EU;;
AD;05;05;05;3039676;Ordino;http://en.wikipedia.org/wiki/Ordino;1;parish;3039678;Ordino;3467;ca;EU;;
AD;06;06;06;3039162;"Sant Julia de Lòria";http://en.wikipedia.org/wiki/Sant_Juli%C3%A0_de_L%C3%B2ria;1;parish;3039163;"Sant Julià de Lòria";9448;ca;EU;;
AD;07;07;07;3041566;"Andorra la Vella";http://en.wikipedia.org/wiki/Andorra_la_Vella;1;parish;3041563;"Andorra la Vella";24211;ca;EU;;
AD;08;08;08;3338529;Escaldes-Engordany;http://en.wikipedia.org/wiki/Escaldes-Engordany;1;parish;3040051;"les Escaldes";16391;ca;EU;;
AE;AJ;02;02;292933;'Ajman;http://en.wikipedia.org/wiki/Ajman;2;emirate;292932;`Ajmān;234905;ar;AS;;
AE;AZ;01;01;292969;"Abu Zaby";http://en.wikipedia.org/wiki/Abu_Dhabi_%28emirate%29;2;emirate;292968;"Abu Dhabi";1395899;ar;AS;;
AE;DU;03;03;292224;Dubayy;http://en.wikipedia.org/wiki/Dubai;2;emirate;292223;Dubai;1141963;ar;AS;;
AE;FU;04;04;292879;"Al Fujayrah";http://en.wikipedia.org/wiki/Fujairah;2;emirate;292878;"Al Fujayrah";113316;ar;AS;;
AE;RK;05;05;291075;"R'as al Khaymah";http://en.wikipedia.org/wiki/Ras_al-Khaimah;2;emirate;291074;"Ra's al Khaymah";187535;ar;AS;;
AE;SH;06;06;292673;"Ash Shariqah";http://en.wikipedia.org/wiki/Sharjah_%28emirate%29;2;emirate;292672;Sharjah;620183;ar;AS;;
AE;UQ;07;07;290595;"Umm al Qaywayn";http://en.wikipedia.org/wiki/Umm_al-Quwain;2;emirate;290594;"Umm al Qaywayn";56253;ar;AS;;
AF;BAL;30;30;1147288;"Balkh province";http://en.wikipedia.org/wiki/Balkh_Province;3;"wilāyat (province)";1133616;"Mazār-e Sharīf";1245100;;AS;;
AF;BAM;05;05;1147239;"Bamian province";http://en.wikipedia.org/wiki/Bamyan_Province;3;"wilāyat (province)";1147242;Bāmyān;484648;;AS;;
AF;BDG;02;02;1147707;"Badghis province";http://en.wikipedia.org/wiki/Badghis_Province;3;"wilāyat (province)";1129867;"Qala i Naw";792155;;AS;;
AF;BDS;01;01;1147745;"Badakhshan province";http://en.wikipedia.org/wiki/Badakhshan_Province;3;"wilāyat (province)";1142170;Fayzabad;1062937;;AS;;
AF;BGL;03;03;1147537;"Baghlan province";http://en.wikipedia.org/wiki/Baghlan_Province;3;"wilāyat (province)";1130490;"Pul-e Khumrī";872234;;AS;;
AF;DAY;41;41;6957553;Dāykundī;http://en.wikipedia.org/wiki/Daykundi_Province;3;"wilāyat (province)";1131833;Nīlī;440000;;AS;;
AF;FRA;06;06;1142263;"Farah province";http://en.wikipedia.org/wiki/Farah_Province;3;"wilāyat (province)";1142264;Farāh;470939;;AS;;
AF;FYB;07;07;1142226;"Faryab province";http://en.wikipedia.org/wiki/Faryab_Province;3;"wilāyat (province)";1133453;Maīmanah;913866;;AS;;
AF;GHA;08;08;1141268;"Ghazni province";http://en.wikipedia.org/wiki/Ghazni_Province;3;"wilāyat (province)";1141269;Ghaznī;1168800;;AS;;
AF;GHO;09;09;1141103;"Ghowr province";http://en.wikipedia.org/wiki/Gh%C5%8Dr_Province;3;"wilāyat (province)";1145904;Chaghcharān;657200;;AS;;
AF;HEL;10;10;1140043;"Helmand province";http://en.wikipedia.org/wiki/Helmand_Province;3;"wilāyat (province)";1134720;"Lashkar Gāh";925666;;AS;;
AF;HER;11;11;1140025;"Herat province";http://en.wikipedia.org/wiki/Herat_Province;3;"wilāyat (province)";1140026;Herāt;1382139;;AS;;
AF;JOW;31;31;1139049;"Jowzjan province";http://en.wikipedia.org/wiki/Jowzjan_Province;3;"wilāyat (province)";1125444;Shibirghān;747618;;AS;;
AF;KAB;13;13;1138957;"Kabul province";http://en.wikipedia.org/wiki/Kabul_Province;3;"wilāyat (province)";1138958;Kabul;3138338;;AS;;
AF;KAN;23;23;1138335;"Kandahar province";http://en.wikipedia.org/wiki/Kandahar_Province;3;"wilāyat (province)";1138336;Kandahār;1665487;;AS;;
AF;KAP;14;14;1138255;"Kapisa province";http://en.wikipedia.org/wiki/Kapisa_Province;3;"wilāyat (province)";1126606;Sidqābād;472584;;AS;;
AF;KDZ;24;24;1135690;"Kondoz province";http://en.wikipedia.org/wiki/Kunduz_Province;3;"wilāyat (province)";1135689;Kunduz;718823;;AS;;
AF;KHO;37;37;1444362;"Khost province";http://en.wikipedia.org/wiki/Khost_Province;3;"wilāyat (province)";1136469;Khōst;283283;;AS;;
AF;KNR;34;34;1135702;"Konar province";http://en.wikipedia.org/wiki/Kunar_Province;3;"wilāyat (province)";1148311;Asadābād;562411;;AS;;
AF;LAG;35;35;1135022;"Laghman province";http://en.wikipedia.org/wiki/Laghman_Province;3;"wilāyat (province)";1133574;"Mehtar Lām";651326;;AS;;
AF;LOG;17;17;1134561;"Lowgar province";http://en.wikipedia.org/wiki/Logar_Province;3;"wilāyat (province)";1130497;"Pul-e ‘Alam";373100;;AS;;
AF;NAN;18;18;1132366;"Nangrahar province";http://en.wikipedia.org/wiki/Nangarhar_Province;3;"wilāyat (province)";1139715;Jalālābād;1538444;;AS;;
AF;NIM;19;19;1131821;"Nimruz province";http://en.wikipedia.org/wiki/Nimruz_Province;3;"wilāyat (province)";1120985;Zaranj;234086;;AS;;
AF;NUR;38;38;1444363;"Nurestan province";http://en.wikipedia.org/wiki/Nuristan_Province;3;"wilāyat (province)";1131627;Nūristān;130000;;AS;;
AF;PAN;42;42;6957555;Panjshir;http://en.wikipedia.org/wiki/Panjshir_Province;3;"wilāyat (province)";1429434;Bazarak;146100;;AS;;
AF;PAR;40;40;1131054;"Parwan province";http://en.wikipedia.org/wiki/Parwan_Province;3;"wilāyat (province)";1145352;Chārīkār;786152;;AS;;
AF;PIA;36;36;1131257;"Paktia province";http://en.wikipedia.org/wiki/Paktia_Province;3;"wilāyat (province)";1141857;Gardēz;503572;;AS;;
AF;PKA;29;29;1131256;"Paktika province";http://en.wikipedia.org/wiki/Paktika_Province;3;"wilāyat (province)";8534261;Sharan;476740;;AS;;
AF;SAM;32;32;1127766;"Samangan province";http://en.wikipedia.org/wiki/Samangan_Province;3;"wilāyat (province)";1127768;Aībak;599331;;AS;;
AF;SAR;33;33;1127106;"Sar-e Pol province";http://en.wikipedia.org/wiki/Sar-e_Pol_Province;3;"wilāyat (province)";1127111;"Sar-e Pul";727277;;AS;;
AF;TAK;26;26;1123230;"Takhar province";http://en.wikipedia.org/wiki/Takhar_Province;3;"wilāyat (province)";1123004;Taloqan;933700;;AS;;
AF;URU;39;39;1131461;"Uruzgān province";http://en.wikipedia.org/wiki/Or%C5%ABzg%C4%81n_Province;3;"wilāyat (province)";1122747;"Tarīn Kōṯ";301867;;AS;;
AF;WAR;27;27;1121863;"Wardak province";http://en.wikipedia.org/wiki/Wardak_Province;3;"wilāyat (province)";1456960;"Maīdān Shahr";342048;;AS;;
AF;ZAB;28;28;1121143;"Zabol province";http://en.wikipedia.org/wiki/Zabul_Province;3;"wilāyat (province)";1130131;Qalāt;444585;;AS;;
AG;03;03;03;3576024;"Saint George";http://en.wikipedia.org/wiki/Saint_George_Parish%2C_Antigua_and_Barbuda;5;parish;3576057;Piggotts;5393;en-AG;NA;;
AG;04;04;04;3576023;"Saint John";http://en.wikipedia.org/wiki/Saint_John_Parish%2C_Antigua_and_Barbuda;5;parish;3576022;"Saint John's";42721;en-AG;NA;;
AG;05;05;05;3576018;"Saint Mary";http://en.wikipedia.org/wiki/Saint_Mary_Parish%2C_Antigua_and_Barbuda;5;parish;3576361;Bolands;6360;en-AG;NA;;
AG;06;06;06;3576017;"Saint Paul";http://en.wikipedia.org/wiki/Saint_Paul%2C_Antigua_and_Barbuda;5;parish;3576260;Falmouth;7325;en-AG;NA;;
AG;07;07;07;3576016;"Saint Peter";http://en.wikipedia.org/wiki/Saint_Peter_Parish%2C_Antigua_and_Barbuda;5;parish;3576074;Parham;4321;en-AG;NA;;
AG;08;08;08;3576015;"Saint Philip";http://en.wikipedia.org/wiki/Saint_Philip%2C_Antigua_and_Barbuda;5;parish;;;3599;en-AG;NA;;
AG;10;01;01;3576390;Barbuda;http://en.wikipedia.org/wiki/Barbuda;4;dependency;3576311;Codrington;1638;en-AG;NA;;
AG;11;09;09;3576037;Redonda;http://en.wikipedia.org/wiki/Redonda;4;dependency;;;;en-AG;NA;;
AI;;;11205389;11205389;"Blowing Point";http://en.wikipedia.org/wiki/Blowing_Point%2C_Anguilla;342;District;3573496;"Blowing Point Village";;;NA;;
AI;;;11205392;11205392;"Sandy Ground";http://en.wikipedia.org/wiki/Sandy_Ground%2C_Anguilla;342;District;3573407;"Sandy Ground Village";;;NA;;
AI;;;11205393;11205393;"Sandy Hill";http://en.wikipedia.org/wiki/Sandy_Hill%2C_Anguilla;342;District;11205445;"Sandy Hill";;;NA;;
AI;;;11205396;11205396;"The Valley";http://en.wikipedia.org/wiki/The_Valley%2C_Anguilla;342;District;3573374;"The Valley";;;NA;;
AI;;;11205433;11205433;"East End";http://en.wikipedia.org/wiki/East_End%2C_Anguilla;342;District;3573473;"East End Village";701;;NA;;
AI;;;11205436;11205436;"North Hill";http://en.wikipedia.org/wiki/North_Hill%2C_Anguilla;342;District;3573420;"North Hill Village";526;;NA;;
